sample_idx,frame_path,active,is_stale,selected_y,selected_h,selected_y_top_frac,body_shape,motion_x,motion_y,target_lost_frames,instant_adopted,switch_adopted,candidate_count,accepted_count
136,/workspace/artifacts/real_apex_test/_gif_frames/frame_136.png,False,True,30.0,397.0,0.06666666666666667,1.0,495.43000000000006,199.66328816542014,2,False,False,4,2
137,/workspace/artifacts/real_apex_test/_gif_frames/frame_137.png,False,True,30.0,397.0,0.06666666666666667,1.0,495.43000000000006,199.66328816542014,2,False,False,2,2
138,/workspace/artifacts/real_apex_test/_gif_frames/frame_138.png,False,True,30.0,397.0,0.06666666666666667,1.0,495.43000000000006,199.66328816542014,3,False,False,1,0
139,/workspace/artifacts/real_apex_test/_gif_frames/frame_139.png,False,True,30.0,397.0,0.06666666666666667,1.0,495.43000000000006,199.66328816542014,3,False,False,4,3
140,/workspace/artifacts/real_apex_test/_gif_frames/frame_140.png,False,True,30.0,397.0,0.06666666666666667,1.0,495.43000000000006,199.66328816542014,4,False,False,5,3
141,/workspace/artifacts/real_apex_test/_gif_frames/frame_141.png,False,True,30.0,397.0,0.06666666666666667,1.0,495.43000000000006,199.66328816542014,5,False,False,7,4
142,/workspace/artifacts/real_apex_test/_gif_frames/frame_142.png,False,True,30.0,397.0,0.06666666666666667,1.0,495.43000000000006,199.66328816542014,6,False,False,6,2
143,/workspace/artifacts/real_apex_test/_gif_frames/frame_143.png,False,True,30.0,397.0,0.06666666666666667,1.0,495.43000000000006,199.66328816542014,7,False,False,7,4
144,/workspace/artifacts/real_apex_test/_gif_frames/frame_144.png,False,True,30.0,397.0,0.06666666666666667,1.0,495.43000000000006,199.66328816542014,8,False,False,6,5
145,/workspace/artifacts/real_apex_test/_gif_frames/frame_145.png,False,True,30.0,397.0,0.06666666666666667,1.0,495.43000000000006,199.66328816542014,9,False,False,9,3
146,/workspace/artifacts/real_apex_test/_gif_frames/frame_146.png,False,True,30.0,397.0,0.06666666666666667,1.0,495.43000000000006,199.66328816542014,10,False,False,6,3
147,/workspace/artifacts/real_apex_test/_gif_frames/frame_147.png,False,True,30.0,397.0,0.06666666666666667,1.0,495.43000000000006,199.66328816542014,11,False,False,9,5
148,/workspace/artifacts/real_apex_test/_gif_frames/frame_148.png,False,True,30.0,397.0,0.06666666666666667,1.0,495.43000000000006,199.66328816542014,12,False,False,9,3
149,/workspace/artifacts/real_apex_test/_gif_frames/frame_149.png,False,True,30.0,397.0,0.06666666666666667,1.0,495.43000000000006,199.66328816542014,13,False,False,8,3
150,/workspace/artifacts/real_apex_test/_gif_frames/frame_150.png,False,True,30.0,397.0,0.06666666666666667,1.0,495.43000000000006,199.66328816542014,14,False,False,6,3
151,/workspace/artifacts/real_apex_test/_gif_frames/frame_151.png,False,True,30.0,397.0,0.06666666666666667,1.0,495.43000000000006,199.66328816542014,15,False,False,7,3
152,/workspace/artifacts/real_apex_test/_gif_frames/frame_152.png,False,True,30.0,397.0,0.06666666666666667,1.0,495.43000000000006,199.66328816542014,16,False,False,6,2
153,/workspace/artifacts/real_apex_test/_gif_frames/frame_153.png,False,True,30.0,397.0,0.06666666666666667,1.0,495.43000000000006,199.66328816542014,17,False,False,5,1
154,/workspace/artifacts/real_apex_test/_gif_frames/frame_154.png,False,False,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,18,False,False,4,1
155,/workspace/artifacts/real_apex_test/_gif_frames/frame_155.png,False,False,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,19,False,False,6,1
